""
SHEETS REPORT
""
""
Sr No,Sheet Id,Matrial Name,Size,Grade,Thickness,Finish,Date,New Sheet,Leftover Sheet,Dead Sheet,Left SQinch
1,51,1,1856,2,5,None,2023-09-16 11:01:17.405569+00:00,No,Yes,No
2,53,1,995,2,8,None,2023-09-16 11:01:18.421050+00:00,No,Yes,No
3,56,1,296,2,2,Mirror,2023-09-16 11:03:37.039296+00:00,No,Yes,No
4,68,1,1236,1,2,Mirror,2023-09-16 11:03:39.936907+00:00,No,Yes,No
5,85,2,1868,4,4,None,2023-09-25 08:27:09.353868+00:00,No,Yes,No
6,86,2,1874,4,10,None,2023-09-30 08:31:54.893554+00:00,No,Yes,No
7,433,1,1900,3,3,None,2024-02-21 06:31:02.600701+00:00,No,Yes,No
8,456,2,1318,4,11,None,2024-03-01 10:25:44.132343+00:00,No,Yes,No
9,622,1,181,2,2,NONE,2024-05-04 10:39:42.509869+00:00,No,Yes,No
10,623,1,1734,2,2,NONE,2024-05-04 10:39:42.650925+00:00,No,Yes,No
11,624,1,1926,2,2,NONE,2024-05-04 10:39:42.777153+00:00,No,Yes,No
12,625,1,1737,2,3,NONE,2024-05-04 10:43:24.386184+00:00,No,Yes,No
13,626,1,1909,2,3,NONE,2024-05-04 10:43:24.591290+00:00,No,Yes,No
14,630,1,1941,2,4,NONE,2024-05-04 10:47:53.430073+00:00,No,Yes,No
15,663,2,1877,4,5,NONE ,2024-05-27 11:59:36.557910+00:00,No,Yes,No
16,670,2,1948,4,2,None,2024-06-07 09:24:03.297936+00:00,No,Yes,No
17,694,1,1854,1,9,None,2024-06-10 06:41:07.636661+00:00,No,Yes,No
18,695,1,287,1,5,MAT PVC,2024-06-10 06:41:59.324735+00:00,No,Yes,No
19,697,1,1687,1,4,None,2024-06-14 08:34:41.291903+00:00,No,Yes,No
20,700,1,1147,2,1,NONE,2024-06-22 08:21:47.263271+00:00,No,Yes,No
21,701,1,1629,1,6,NONE,2024-07-03 06:07:41.113459+00:00,No,Yes,No
22,766,1,1963,1,5,NONE,2024-07-03 06:21:32.231298+00:00,No,Yes,No
23,768,1,287,1,1,None,2024-07-13 05:29:56.502386+00:00,No,Yes,No
24,783,1,1938,1,6,none,2024-07-24 12:04:44.714224+00:00,No,Yes,No
25,784,1,1891,1,6,None,2024-07-24 12:06:09.126023+00:00,No,Yes,No
26,797,2,1708,4,1,None,2024-07-31 08:40:28.382066+00:00,No,Yes,No
27,824,1,1594,1,3,2B,2024-08-06 04:41:11.017993+00:00,No,Yes,No
28,845,1,1898,1,2,2B,2024-08-25 06:27:33.682481+00:00,No,Yes,No
29,888,1,1969,1,1,None,2024-09-09 06:08:30.048091+00:00,No,Yes,No
30,889,1,1949,1,1,MATTE PVC ,2024-09-09 06:10:27.857831+00:00,No,Yes,No
31,915,1,1955,1,4,NONE,2024-09-09 06:16:22.971430+00:00,No,Yes,No
32,917,2,1812,4,9,NONE,2024-09-09 06:17:14.129189+00:00,No,Yes,No
33,918,2,1916,4,9,NONE,2024-09-09 06:17:14.300416+00:00,No,Yes,No
34,922,2,1958,4,3,NONE,2024-09-27 04:09:18.454758+00:00,No,Yes,No
35,993,1,1966,3,6,NONE,2024-10-04 10:47:10.943432+00:00,No,Yes,No
36,997,1,1959,2,1,NONE,2024-10-06 08:13:14.747860+00:00,No,Yes,No
